run_id,architecture,observation_id,sequence,entity_id,monitor_family,monitor_contract_version,route,route_reason,compatibility,sentinel_id,sentinel_version,llm_called,provider,model,input_tokens,output_tokens,measured_cost_usd,model_latency_ms,total_latency_ms,expected_action,actual_action,expected_label,actual_label,decision_correct,false_positive,false_negative,stale_reuse,duplicate_action,workload_hash,contract_fingerprint
ch10-20260922T120041Z-8e2e69fa,naive,obs-001,1,inv-001,inventory_risk,V1,initial_acquisition,no_cached_rule,naive_acquired,inventory_risk-sentinel,1,True,mock,deterministic-ground-truth-adapter,0,0,0.0,0.0,0.0,no_action,no_action,,,True,False,False,False,False,eb4b617f26494106d8b63ee43463191ae5e3b2965b75175d0ed745f65538797e,192d00df6b488aecec63e6b993dc603cbdf1da5dc1a32051ce726515dda56404
ch10-20260922T120041Z-8e2e69fa,naive,obs-002,2,shi-001,shipment_exception,V1,initial_acquisition,no_cached_rule,naive_acquired,shipment_exception-sentinel,1,True,mock,deterministic-ground-truth-adapter,0,0,0.0,0.0,0.0,no_action,no_action,,,True,False,False,False,False,eb4b617f26494106d8b63ee43463191ae5e3b2965b75175d0ed745f65538797e,e3b969b82f843fe90ceb782a612aaeab12a39e0a7f8c32b1ee7e44279ca8c7d9
ch10-20260922T120041Z-8e2e69fa,naive,obs-003,3,ord-001,order_sla,V1,initial_acquisition,no_cached_rule,naive_acquired,order_sla-sentinel,1,True,mock,deterministic-ground-truth-adapter,0,0,0.0,0.0,0.0,no_action,no_action,,,True,False,False,False,False,eb4b617f26494106d8b63ee43463191ae5e3b2965b75175d0ed745f65538797e,a5e48545fc3415e369f1ced1e9b39ec74eebf849c3b49c9c1ea630b910b317a1
ch10-20260922T120041Z-8e2e69fa,naive,obs-004,4,inv-001,invoice_risk,V1,initial_acquisition,no_cached_rule,naive_acquired,invoice_risk-sentinel,1,True,mock,deterministic-ground-truth-adapter,0,0,0.0,0.0,0.0,no_action,no_action,,,True,False,False,False,False,eb4b617f26494106d8b63ee43463191ae5e3b2965b75175d0ed745f65538797e,c85dbcc3cf67d514977990dbef4692f9e815b517d1e1e613e3b54f40e7d26c87
ch10-20260922T120041Z-8e2e69fa,naive,obs-005,5,sup-001,supplier_performance,V1,initial_acquisition,no_cached_rule,naive_acquired,supplier_performance-sentinel,1,True,mock,deterministic-ground-truth-adapter,0,0,0.0,0.0,0.0,no_action,no_action,,,True,False,False,False,False,eb4b617f26494106d8b63ee43463191ae5e3b2965b75175d0ed745f65538797e,8fce2f56c6a0b1371782a6e4bbd80cd9391512c45a334ea74f0cb133ce692643
ch10-20260922T120041Z-8e2e69fa,naive,obs-006,6,cus-001,customer_account,V1,initial_acquisition,no_cached_rule,naive_acquired,customer_account-sentinel,1,True,mock,deterministic-ground-truth-adapter,0,0,0.0,0.0,0.0,no_action,no_action,,,True,False,False,False,False,eb4b617f26494106d8b63ee43463191ae5e3b2965b75175d0ed745f65538797e,22eb3829dd7bad6ba347b18c95d95c632869804036ee508d85b4a9745455d84d
ch10-20260922T120041Z-8e2e69fa,naive,obs-007,7,inv-002,inventory_risk,V1,naive_reuse,unchecked_cached_rule,unchecked,inventory_risk-sentinel,1,False,mock,deterministic-ground-truth-adapter,0,0,0.0,0.0,0.0,no_action,no_action,,,True,False,False,False,False,eb4b617f26494106d8b63ee43463191ae5e3b2965b75175d0ed745f65538797e,192d00df6b488aecec63e6b993dc603cbdf1da5dc1a32051ce726515dda56404
ch10-20260922T120041Z-8e2e69fa,naive,obs-008,8,shi-003,shipment_exception,V1,naive_reuse,unchecked_cached_rule,unchecked,shipment_exception-sentinel,1,False,mock,deterministic-ground-truth-adapter,0,0,0.0,0.0,0.0,no_action,no_action,,,True,False,False,False,False,eb4b617f26494106d8b63ee43463191ae5e3b2965b75175d0ed745f65538797e,e3b969b82f843fe90ceb782a612aaeab12a39e0a7f8c32b1ee7e44279ca8c7d9
ch10-20260922T120041Z-8e2e69fa,naive,obs-009,9,ord-004,order_sla,V1,naive_reuse,unchecked_cached_rule,unchecked,order_sla-sentinel,1,False,mock,deterministic-ground-truth-adapter,0,0,0.0,0.0,0.0,no_action,no_action,,,True,False,False,False,False,eb4b617f26494106d8b63ee43463191ae5e3b2965b75175d0ed745f65538797e,a5e48545fc3415e369f1ced1e9b39ec74eebf849c3b49c9c1ea630b910b317a1
ch10-20260922T120041Z-8e2e69fa,naive,obs-010,10,inv-005,invoice_risk,V1,naive_reuse,unchecked_cached_rule,unchecked,invoice_risk-sentinel,1,False,mock,deterministic-ground-truth-adapter,0,0,0.0,0.0,0.0,no_action,no_action,,,True,False,False,False,False,eb4b617f26494106d8b63ee43463191ae5e3b2965b75175d0ed745f65538797e,c85dbcc3cf67d514977990dbef4692f9e815b517d1e1e613e3b54f40e7d26c87
